,LONGITUDE,LATITUDE
41875,-113.07833333,45.36
41876,-112.68333333,44.54
41877,-112.98333333,44.51666667
41878,-112.73,44.69
41879,-112.82,45.76333333
41880,-112.825,45.75
41881,-112.71666667,45.69333333
41882,-112.67666667,45.705
41883,-113.16666667,45.94166667
41884,-113.11,45.545
41885,-112.72,45.545
41886,-113.10666667,45.57833333
41887,-113.93333333,45.68333333
41888,-113.72666667,45.58833333
41889,-112.67666667,45.51666667
41890,-111.85,45.36833333
41891,-111.62833333,45.48833333
41892,-111.575,46.44666667
41893,-111.86666667,45.335
41894,-111.55,45.30833333
41895,-111.76666667,44.79166667
41896,-113.98333333,46.29666667
41897,-114.13333333,46.38666667
41898,-114.26666667,46.26666667
41899,-113.945,46.28833333
41900,-114.21666667,46.37833333
41901,-114.21,46.59833333
41902,-114.23666667,46.29
41903,-113.905,46.37166667
41904,-114.16666667,46.555
41905,-113.955,46.28833333
41906,-113.86666667,46.33333333
41907,-113.88666667,46.26833333
41908,-114.01833333,46.34833333
41909,-114.23833333,46.33
41910,-113.92333333,46.43166667
41911,-113.95666667,46.30666667
41912,-113.91,46.55
41913,-113.92166667,46.49666667
41914,-114.12,46.46333333
41915,-114.275,46.26666667
41916,-113.90666667,46.51333333
41917,-114.005,46.24333333
41918,-114.39,46.36
41919,-114.12333333,46.59833333
41920,-114.22,46.275
41921,-114.335,46.325
41922,-114.23333333,46.325
41923,-114.22,46.275
41924,-114.23166667,46.265
41925,-113.93666667,46.255
41926,-114.23333333,46.26666667
41927,-114.23333333,46.26666667
41928,-114.25333333,46.37666667
41929,-114.29333333,46.535
41930,-114.36833333,46.48
41931,-114.38666667,46.39
41932,-114.20166667,46.43666667
41933,-114.28833333,46.40666667
41934,-113.955,46.305
41935,-114.19166667,46.50333333
41936,-114.25333333,46.28666667
41937,-114.38833333,46.40166667
41938,-113.96166667,46.02666667
41939,-114.26833333,46.065
41940,-114.23,46.065
41941,-113.98833333,46.15833333
41942,-113.93166667,46.01
41943,-113.90833333,46.00833333
41944,-114.20666667,45.96
41945,-114.025,46.00166667
41946,-113.90666667,46.22333333
41947,-113.92833333,46.22
41948,-113.91,46.245
41949,-113.885,46.26333333
41950,-114.25833333,46.26166667
41951,-114.13666667,46.07333333
41952,-113.93,46.245
41953,-114.01666667,46.12333333
41954,-114.25333333,46.185
41955,-114.21,46.10333333
41956,-113.83666667,46.23
41957,-114.405,45.97
41958,-114.46833333,46.10833333
41959,-113.85666667,46.09666667
41960,-113.83666667,46.10333333
41961,-114.22333333,45.97666667
41962,-114.26,46.105
41963,-113.805,46.09666667
41964,-113.80333333,46.07333333
41965,-114.22666667,46.01166667
41966,-114.24,46.115
41967,-114.23833333,45.97
41968,-114.24833333,46.02
41969,-113.89166667,46.07833333
41970,-113.91,46.07166667
41971,-114.03,46.05833333
41972,-113.92333333,45.955
41973,-113.74333333,45.92833333
41974,-113.73666667,45.95833333
41975,-114.06,45.89166667
41976,-114.06,45.89666667
41977,-113.88666667,45.96166667
41978,-114.08,45.89166667
41979,-113.71666667,45.94666667
41980,-114.045,45.90833333
41981,-114.085,45.89833333
41982,-114.09166667,45.89166667
41983,-113.94,45.94166667
41984,-113.97833333,45.83166667
41985,-113.85333333,45.91166667
41986,-113.93833333,45.92333333
41987,-114.09166667,45.88833333
41988,-113.925,45.95333333
41989,-113.78666667,45.88833333
41990,-114.03333333,45.87666667
41991,-113.92,45.92
41992,-114.01833333,45.90333333
41993,-114.02,45.88833333
41994,-114.02,45.88833333
41995,-114.00333333,45.82166667
41996,-113.935,45.75666667
41997,-113.92,45.91833333
41998,-114.12166667,45.83333333
41999,-113.97333333,45.72
42000,-113.99333333,45.90666667
42001,-113.69333333,45.89166667
42002,-113.95833333,45.69333333
42003,-113.70166667,46.02833333
42004,-114.2,45.88333333
42005,-114.76666667,45.66666667
42006,-114.81666667,45.87166667
42007,-114.79,45.85333333
42008,-114.37166667,45.675
42009,-114.24,45.75166667
42010,-114.28333333,45.8
42011,-114.38333333,45.75
42012,-114.28333333,45.7
42013,-114.38,45.83333333
42014,-114.31666667,45.58333333
42015,-114.33833333,45.79333333
42016,-114.41666667,45.56166667
