epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.17692289,1.3010171636829226,0.19716123,0.13014006214555543
1,0.23035216,1.1710071716711106,0.36238635,0.12837230476364508
2,0.36685807,1.1554744097640817,0.36238635,0.1279574932086159
3,0.36685807,1.1511134348688794,0.36238635,0.12768997790214415
4,0.36685807,1.1483769627586968,0.36238635,0.12757962573670192
5,0.36685807,1.1471165202565943,0.36238635,0.12760341567309413
6,0.36685807,1.1470104850170217,0.36238635,0.12762542122508924
7,0.36685807,1.1468266667602247,0.36238635,0.12758767575201993
8,0.36685807,1.1465588070825188,0.36238635,0.1275434647036963
9,0.36685807,1.1459590731979887,0.36238635,0.1275183432875093
10,0.36685807,1.1457378237267728,0.36238635,0.12749900474330825
11,0.36685807,1.1456081257608874,0.36238635,0.12747290975765124
12,0.36685807,1.1454334268923168,0.36238635,0.12743352352272588
13,0.36685807,1.14516413672234,0.36238635,0.1273762233228952
14,0.36685807,1.1447340353795883,0.36238635,0.12728976778944798
15,0.36685807,1.1439988815600899,0.36238635,0.12713884640979597
16,0.36685807,1.1426686429559414,0.36238635,0.12688359245712932
17,0.36685807,1.1404337968020501,0.36238635,0.1264687050604287
18,0.36685807,1.1369131169082498,0.36238635,0.12586939356453675
19,0.36685807,1.1323068125886067,0.36238635,0.12528757137826158
20,0.36685807,1.1278687103184708,0.45797294,0.12469129551231714
21,0.45949677,1.1220836207638496,0.4604125,0.1241948408992872
22,0.46003893,1.117265603588129,0.46019074,0.12373734698111828
23,0.4597432,1.1127063267018882,0.45708582,0.12348331781024316
24,0.46058112,1.10982465962622,0.45664227,0.12331056496859161
25,0.46114793,1.1084419100349645,0.45930362,0.12313006867804364
26,0.46336594,1.1072941784030315,0.45974717,0.12306085615036713
27,0.4637849,1.1062021167619702,0.4604125,0.12290636313455117
28,0.46514034,1.1055421829943777,0.45863828,0.12287525424281893
29,0.46457353,1.1048092941209746,0.46307385,0.1227098041096788
30,0.46637258,1.1040967301585858,0.4584165,0.12287880955233842
31,0.4664958,1.1042501504546283,0.46396098,0.12296602912561744
32,0.4655593,1.1065586669604655,0.44577512,0.12410949354586011
33,0.46213374,1.110452049694652,0.45664227,0.12355506163244448
34,0.44438967,1.1183708376788506,0.45930362,0.12322269756447411
35,0.46477067,1.1068149038884711,0.45974717,0.12323579973746879
36,0.46353847,1.108748989042428,0.4624085,0.12302322974525928
37,0.4668162,1.1058557588209044,0.46418273,0.12295600465763154
38,0.4656579,1.1065569384489715,0.465957,0.12289345825736357
39,0.46755552,1.1048591825389185,0.4637392,0.12283981874429321
40,0.46891096,1.1042985487764567,0.46307385,0.12285164030050069
41,0.4687138,1.104247527885465,0.4655134,0.12267854551959817
42,0.4679991,1.1036284227514348,0.4657352,0.12264209885173048
43,0.46841806,1.1031147568185309,0.46617875,0.12259833824712008
44,0.47051287,1.1026075877046901,0.46662232,0.12255271444295025
45,0.47029105,1.1024322331938288,0.46728766,0.12248839926298621
46,0.4695517,1.1021032199715461,0.46861833,0.12246681367064648
47,0.46994603,1.101872374281347,0.46861833,0.1224211909123845
48,0.4701432,1.1015379371092044,0.4688401,0.12239400062116579
49,0.47184366,1.1013908348206913,0.46928364,0.12234920768730848
50,0.47090715,1.1011047959703772,0.4706143,0.12231352381192472
51,0.47250906,1.1007866902516596,0.4710579,0.12228056169031427
52,0.47280478,1.1005526259538512,0.4710579,0.12223364408093644
53,0.47290337,1.1001922611093005,0.47172323,0.12220994416853403
54,0.4731991,1.0997721732124441,0.47261032,0.12213389243765495
55,0.47396308,1.0994672399433867,0.46972722,0.12216848356028431
56,0.4729773,1.0989373021609026,0.47127965,0.12214833172006316
57,0.47159722,1.1001653797753785,0.4542027,0.12305447788356293
58,0.4685906,1.1015422285860168,0.4606343,0.12308616014323619
59,0.4493186,1.1140696454397987,0.46839654,0.12232930212842894
60,0.473692,1.0986964430248078,0.4522067,0.12329697427311659
61,0.46240482,1.1060200866205117,0.46839654,0.12282343067061662
62,0.46652043,1.1072695024113604,0.46440452,0.12344429553324437
63,0.46629864,1.109375485053191,0.47039255,0.12271749386210452
64,0.47255835,1.1034201073145005,0.467953,0.12259676764710674
65,0.47226262,1.102716543532649,0.4688401,0.12247555119368762
66,0.47366735,1.1011736384109092,0.4730539,0.1222673304457702
67,0.47216403,1.100247931100172,0.47150144,0.12221312922177531
68,0.47245976,1.0991375710788136,0.47438458,0.12214500074782451
69,0.47549105,1.0980872321289836,0.47371924,0.12199648230999076
70,0.47583607,1.0968338228805459,0.47527167,0.12190300976240595
71,0.47605786,1.096474888528266,0.47571525,0.12177866416795656
72,0.47709292,1.0954305695667423,0.47482812,0.12174921477200325
73,0.47753653,1.0949084994917475,0.4770459,0.12164428018405478
74,0.4778569,1.0943742106286063,0.4761588,0.12165835031140362
75,0.477783,1.0939070952983476,0.47682413,0.12159166626679323
76,0.4761318,1.0950321178654818,0.48081616,0.12172451462433172
77,0.48263794,1.0945702476735495,0.4730539,0.12188624618940924
78,0.47233653,1.100337158055563,0.47660235,0.12167145224225018
79,0.4779062,1.0942745530004077,0.4761588,0.12178243940448046
80,0.47820193,1.094985030828235,0.47771123,0.12157716381463178
81,0.47854695,1.093741873441071,0.47748947,0.12140105280423702
82,0.48002562,1.0916816665519058,0.4810379,0.12142819557401216
83,0.4890948,1.0915584654050838,0.4865824,0.1212474374463313
84,0.4909185,1.0911395099812753,0.49035263,0.12111282104944386
85,0.49289006,1.0894500390056239,0.48702595,0.12108291985920891
86,0.48677823,1.090311552975709,0.46750942,0.12188050845699355
87,0.48108533,1.0923572165267879,0.47327566,0.12217506979091558
88,0.4714247,1.1036843907615297,0.4741628,0.12237001848127847
89,0.46016216,1.1057196832436451,0.47682413,0.1219587585373338
90,0.46861523,1.103069517500467,0.47371924,0.12208309522311284
91,0.47625503,1.0977727026409432,0.47527167,0.12221051350867465
92,0.47687113,1.0988709630818445,0.47571525,0.12206513335028717
93,0.4787934,1.0975269559895897,0.4770459,0.12197170009471058
94,0.47756118,1.0974126358156155,0.47771123,0.12188893095083136
95,0.47936022,1.0962703877373872,0.47748947,0.12189285890040275
96,0.48019814,1.0960089056710551,0.47771123,0.12179166212974214
97,0.480346,1.0952509831829131,0.4790419,0.12171928824533337
98,0.48120856,1.094775106087496,0.47992903,0.12164742958261068
99,0.48182467,1.0940273758567836,0.48059437,0.1215820426000555
100,0.482564,1.0934018335075346,0.4810379,0.1215088324451611
101,0.48342657,1.0928133051457924,0.48170325,0.12142056727069775
102,0.48419055,1.092084528937668,0.48392105,0.12134355369037769
103,0.4846588,1.0914931395913843,0.4832557,0.12126376962880106
104,0.48635927,1.0906243539522558,0.48414284,0.12110674883885987
105,0.48687682,1.089587545075154,0.4533156,0.12244578506369216
106,0.45671192,1.1034179615760944,0.37702373,0.1285928344387215
107,0.37863815,1.1629928983278366,0.37391883,0.1277583703250475
108,0.37898317,1.1429604037753385,0.37258816,0.12687108611003856
